Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,<30,30s,40s,50s,60s,70s,80+,Total_pop,<30_%,30s_%,40s_%,50s_%,60s_%,70s_%,80+_%,est_death_rate_%,deaths/confirmed_%,deaths/million
Kyrgyzstan,2020-04-11 22:45:13,41.20438,74.766098,339,5,44,3692968.0,953896.0,671759.0,570264.0,328396.0,109278.0,62939.0,6389500.0,57.79744893966664,14.929118084357148,10.513483058142265,8.925017607011505,5.13961968855153,1.7102746693794506,0.9850379528914625,0.2827015102903201,1.4749262536873156,0.7825338445887785
Laos,2020-04-11 22:45:13,19.85627,102.495496,18,0,0,4048833.0,916317.0,639777.0,465025.0,246080.0,118505.0,59009.0,6493546.0,62.35164885256839,14.111195947483857,9.852505857354364,7.161341430398737,3.789608944019185,1.8249658969074833,0.9087330712679944,0.25335551638503834,0.0,0.0
Latvia,2020-04-11 22:45:13,56.8796,24.6032,630,3,16,616828.0,264821.0,262146.0,275831.0,237452.0,173019.0,104332.0,1934429.0,31.886825518021077,13.68987954585048,13.551595845595779,14.259039747646462,12.275043436590332,8.944189732474026,5.393426173821836,1.0413301289424424,0.4761904761904762,1.550845236501314
Lebanon,2020-04-11 22:45:13,33.8547,35.8623,619,20,77,1965309.0,526325.0,441755.0,323275.0,262044.0,176574.0,63852.0,3759134.0,52.280897674836815,14.001230070542844,11.75150978922273,8.599720041903268,6.970860841885392,4.697198876124128,1.698582705484827,0.48899203912390454,3.231017770597738,5.320374320255676
Liberia,2020-04-11 22:45:13,6.4280550000000005,-9.429499,48,5,3,2468555.0,423168.0,274544.0,139400.0,92637.0,48659.0,29645.0,3476608.0,71.00469768233864,12.171864069805972,7.896892603365119,4.009655388240492,2.66457995839623,1.399611345311292,0.852698952542248,0.19765369003350394,10.416666666666668,1.4381834247634475
Libya,2020-04-11 22:45:13,26.3351,17.228331,24,1,8,3358604.0,883628.0,480991.0,254896.0,175145.0,103526.0,41362.0,5298152.0,63.391990263774986,16.678041702087825,9.078467359939843,4.811035998967187,3.3057752967449785,1.9540020746856641,0.7806873037995135,0.23481885759411963,4.166666666666666,0.18874505676696327
Liechtenstein,2020-04-11 22:45:13,47.14,9.55,79,1,55,12254.0,4788.0,5730.0,6260.0,4680.0,3036.0,1429.0,38177.0,32.097859968043586,12.541582628284045,15.009036854650706,16.397307279251905,12.258689787044556,7.952432092621212,3.7430913901039893,0.88847735547581,1.2658227848101267,26.19378159624905
Lithuania,2020-04-11 22:45:13,55.1694,23.8813,1026,23,54,919678.0,346610.0,381161.0,431278.0,333514.0,238137.0,158523.0,2808901.0,32.74155977729368,12.339701541634966,13.569755573443137,15.353976519642378,11.873469374677143,8.477942084822498,5.6435951284861945,1.0363177627121782,2.241715399610136,8.188255833865274
Luxembourg,2020-04-11 22:45:13,49.8153,6.1296,3270,62,500,212795.0,93391.0,91457.0,85824.0,58477.0,36305.0,23784.0,602033.0,35.34606906930351,15.512604790767284,15.191359942062977,14.255696946845106,9.713254921241859,6.030400326892379,3.950614002886885,0.7771769986030665,1.8960244648318043,102.9843878990022
Malawi,2020-04-11 22:45:13,-13.254307999999998,34.301525,12,2,0,9628698.0,1450877.0,784421.0,527848.0,338508.0,212789.0,136554.0,13079695.0,73.61561565464638,11.092590461780645,5.997242290435671,4.035629271171843,2.588041999450293,1.6268651524366584,1.0440151700785072,0.2171772736290869,16.666666666666664,0.15290876430987116
